asap1_id,Region,Rain,Drought,Country,Continent,name1_shr,km2_tot,km2_crop,km2_range,aezmedian
299,Biskra,16.0,0.0,Algeria,Africa,Biskra,21504.0,1700.0,13641.0,211.0
300,Seoul,0.0,0.0,South Korea,Asia,Seoul,580.0,10.0,19.0,
301,Kuala Lumpur,0.0,0.0,Malaysia,Asia,Kuala Lumpur,242.0,44.0,0.0,
302,Andorra,0.0,0.0,Andorra,Europe,Andorra,475.0,0.0,49.0,
303,El Bayadh,0.0,0.0,Algeria,Africa,El Bayadh,71697.0,116.0,6717.0,211.0
304,Nunavut,0.0,0.0,Canada,North America,Nunavut,2083364.0,0.0,733362.0,
305,Hamburg,0.0,0.0,Germany,Europe,Hamburg,728.0,91.0,273.0,
306,Medea,13.0,9.0,Algeria,Africa,Medea,8720.0,2908.0,7185.0,213.0
307,Cayman Islands,0.0,0.0,Cayman Islands,North America,Cayman Islands,200.0,0.0,46.0,
308,Niamey,0.0,0.0,Niger,Africa,Niamey,248.0,49.0,109.0,312.0
309,Saint Pierre,0.0,0.0,Saint Pierre,North America,Saint Pierre,206.0,0.0,0.0,
310,Grenada,0.0,0.0,Grenada,North America,Grenada,313.0,0.0,19.0,
311,Gaza Strip,0.0,0.0,Gaza Strip,Asia,Gaza Strip,362.0,3.0,6.0,212.0
312,Tamanrasset,0.0,0.0,Algeria,Africa,Tamanrasset,603148.0,35.0,284.0,311.0
313,Bengo,7.0,7.0,Angola,Africa,Bengo,38547.0,593.0,4150.0,312.0
314,Benguela,5.0,3.0,Angola,Africa,Benguela,39333.0,2107.0,18256.0,312.0
315,Bie,8.0,0.0,Angola,Africa,Bie,72134.0,6678.0,7520.0,322.0
316,Cuanza Sul,5.0,4.0,Angola,Africa,Cuanza Sul,55185.0,3416.0,5087.0,322.0
317,Sousse,14.0,5.0,Tunisia,Africa,Sousse,2636.0,1735.0,948.0,212.0
318,Micronesia,0.0,0.0,Micronesia,Oceania,Micronesia,348.0,0.0,0.0,
319,Bulawayo,0.0,0.0,Zimbabwe,Africa,Bulawayo,461.0,72.0,211.0,322.0
320,Aden,0.0,0.0,Yemen,Asia,Aden,748.0,116.0,0.0,
321,Bahrain,0.0,0.0,Bahrain,Asia,Bahrain,574.0,0.0,0.0,
322,Uige,0.0,0.0,Angola,Africa,Uige,62122.0,104.0,2274.0,313.0
323,Cuando Cubango,7.0,0.0,Angola,Africa,Cuando Cubango,199283.0,2087.0,115913.0,312.0
324,Wanica,0.0,0.0,Suriname,South America,Wanica,424.0,132.0,0.0,
325,Tokusima,19.0,0.0,Japan,Asia,Tokusima,4158.0,543.0,36.0,
326,Sums'ka,8.0,7.0,Ukraine,Europe,Sums'ka,24195.0,19400.0,115.0,
